_id,sponsor_clean,sponsor_parent,sponsor_group,sponsor_type,match_status
2009-017671-22-BE,Eisai,Eisai,Eisai,industry,accepted
2009-017672-24-BE,CSL Behring,CSL Behring,CSL Behring,industry,accepted
2009-017673-38-FR,Qualissima,NA,NA,unknown,accepted
2009-017674-20-BE,BioGeneriX,NA,NA,industry,accepted
2009-017675-16-GB,University of Plymouth,NA,NA,hospital,accepted
2009-017676-24-DE,NA,NA,NA,hospital,review
2009-017682-33-FR,Centre Hospitalier Universitaire de Lille,NA,NA,hospital,accepted
2009-017686-34-ES,UROLOGY Associates,NA,NA,unknown,accepted
2009-017688-40-BE,Sanofi,Sanofi,Sanofi,industry,accepted
2009-017689-22-GB,University of Nottingham,NA,NA,unknown,accepted
2009-017690-38-FR,Sanofi,Sanofi,Sanofi,industry,accepted
2009-017692-18-DE,Valderm,NA,NA,industry,accepted
2009-017696-22-IT,IRCCS Inrca,NA,NA,unknown,accepted
2009-017704-86-IT,Fondazione IRCCS Policlinico San Matteo,NA,NA,hospital,accepted
2009-017707-28-ES,Fundacin PETHEMA,NA,NA,unknown,accepted
2009-017709-12-FR,Ipsen,Ipsen,Ipsen,industry,accepted
2009-017711-15-NL,University Medical Center Groningen,NA,NA,hospital,accepted
2009-017716-32-NL,Amsterdam UMC,Amsterdam UMC,Amsterdam UMC,unknown,accepted
2009-017723-26-BE,Ipsen,Ipsen,Ipsen,industry,accepted
2009-017725-19-DE,Roche,Roche,Roche,industry,accepted
2009-017728-13-BE,UZ Leuven,UZ Leuven,UZ Leuven,unknown,accepted
2009-017731-17-DE,AIO-Studien-gGmbH,NA,NA,unknown,accepted
2009-017735-18-FR,CHU de Montpellier,NA,NA,hospital,accepted
2009-017736-41-DK,Herlev University Hospital,NA,NA,hospital,accepted
2009-017737-21-AT,Vifor Pharma,NA,NA,industry,accepted
2009-017739-17-DE,Charité Universitätsmedizin Berlin,Charité Universitätsmedizin Berlin,Charité Universitätsmedizin Berlin,unknown,accepted
2009-017740-13-GR,PHF SA,NA,NA,industry,accepted
