raw_sponsor,sponsor_clean,sponsor_parent,sponsor_group,sponsor_type,match_status,match_score,match_source,match_reason,suggested_clean,n_trials
"Eidos Therapeutics, Inc.",Eidos Therapeutics,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'eidos therapeutics inc' → 'Eidos Therapeutics',Eidos Therapeutics,2
"Scholar Rock, Inc.",Scholar Rock,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'scholar rock inc' → 'Scholar Rock',Scholar Rock,2
JANSSEN CILAG INTERNATIONAL NV,Janssen-Cilag International,Johnson & Johnson,Janssen / Johnson & Johnson,unknown,accepted,97,manual,alias match: 'janssen cilag' → 'Janssen-Cilag International',Janssen-Cilag International,2
"Cara Therapeutics, Inc.",Cara Therapeutics,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'cara therapeutics inc' → 'Cara Therapeutics',Cara Therapeutics,2
"Lyra Therapeutics, Inc.",Lyra Therapeutics,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'lyra therapeutics inc' → 'Lyra Therapeutics',Lyra Therapeutics,2
Fundacin GECP,Fundacion GECP,NA,NA,foundation,accepted,99,manual,alias match: 'fundacin gecp' → 'Fundacion GECP',Fundacion GECP,2
JSC BIOCAD,JSC Biocad,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'jsc biocad' → 'JSC Biocad',JSC Biocad,2
Cardiorentis AG,Cardiorentis,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'cardiorentis ag' → 'Cardiorentis',Cardiorentis,2
Sanofi Aventis Groupe SAG,Sanofi,Sanofi,Sanofi,industry,accepted,97,manual,alias match: 'sanofi' → 'Sanofi',Sanofi,2
Alector Inc.,Alector,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'alector inc' → 'Alector',Alector,2
Fraunhofer Gesellschaft for its Fraunhofer Institute for Translational Medicine and Pharmacology ITMP,Fraunhofer Gesellschaft,NA,NA,academic,accepted,99,llm_reviewed,alias match: 'fraunhofer gesellschaft for its fraunhofer institute for translational medicine and pharmacology itmp' → 'Fraunhofer Gesellschaft',Fraunhofer Gesellschaft,2
"Emalex Biosciences, Inc.",Emalex Biosciences,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'emalex biosciences inc' → 'Emalex Biosciences',Emalex Biosciences,2
"Ayala Pharmaceuticals, Inc.",Ayala Pharmaceuticals,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'ayala pharmaceuticals inc' → 'Ayala Pharmaceuticals',Ayala Pharmaceuticals,2
"OptiNose US, Inc.",OptiNose,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'optinose us inc' → 'OptiNose',OptiNose,2
