"priority","pattern","canonical","match_type","approved","notes"
850,"\bMedizinische\s+Universit[aäe]?t?t?\s+Wien\b|\bVienna\s+Medical\s+University\b","Medical University Of Vienna","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
860,"\bMedical\s+University\s+(Of\s+)?Graz\b|\bMed\s+Uni\s+Graz\b|\bGraz\s+Medical\s+University\b|\bMedizinische\s+Universit[aäe]?t?t?\s+Graz\b","Medical University Of Graz","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
870,"\bMedical\s+University\s+(Of\s+)?Innsbruck\b|\bInnsbruck\s+Medical\s+University\b|\bMedizinische\s+Universit(aet|[aäe]?t?t?)\s+Innsbruck\b","Medical University Of Innsbruck","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
880,"\bOspedale\s+S\.?\s+Raffaele\b|\bOspedale\s+San\s+Raffaele\b|\bIrccs\s+Ospedale\s+San\s+Raffaele\b","Ospedale San Raffaele","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
890,"\bOslo\s+University\s+Hospital(\s+HF|\s+OUS)?\b","Oslo University Hospital","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
900,"\bInstitut\s+De\s+Recherches\s+Internationales\s+Servier\s+Iris\b|\bInstitut\s+de\s+Recherches\s+Internationales\s+Servier\s+I[.]R[.]I[.]S\b|\bI[.]R[.]I[.]S[.]?\s+Institut\s+de\s+Recherches\s+Internationales\s+Servier\b","Institut De Recherches Internationales Servier IRIS","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
910,"\b(CHU|Centre\s+Hospitalier\s+Universitaire)\s+(De\s+)?Nice\b|\bNice\s+CHU\b","CHU De Nice","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
920,"\b(CHU|Centre\s+Hospitalier\s+Universitaire)\s+(De\s+)?Lille\b|\bLille\s+CHU\b","CHU De Lille","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
930,"\b(C\.?H\.?U\.?|C\.?H\.?R\.?U\.?|Centre\s+Hospitalier.*|University\s+Hospital)\s+(De\s+|Of\s+)?Toulouse\b|\bToulouse\s+University\s+Hospital\b|\bToulouse\s+Hospital\b|\bUHToulouse\b","CHU De Toulouse","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
940,"\b(C\.?H\.?U\.?|C\.?H\.?R\.?U\.?|Centre\s+Hospitalier.*)\s+(De\s+|Of\s+)?Lille\b|\bCHRU?\s+(Of\s+)?Lille\b","CHU De Lille","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
950,"\b(C\.?H\.?U\.?|Centre\s+Hospitalier.*|University\s+Hospital)\s+(De\s+|Of\s+)?Clermont\s*[- ]\s*Ferrand\b|\bCHU\s+Clermont\s+Ferrand\b","CHU De Clermont-Ferrand","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
960,"\b(C\.?H\.?U\.?|Centre\s+Hospitalier.*|University\s+Hospital)\s+(De\s+|Of\s+)?Limoges\b|\bUniversity\s+Hospital\s*,\s*Limoges\b|\bLimoges\s+Hospital\b","CHU De Limoges","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
970,"\b(C\.?H\.?U\.?|Centre\s+Hospitalier.*|Rennes\s+University\s+Hospital)\s+(De\s+|Of\s+)?Rennes\b|\bCHU\s+Of\s+Rennes\b","CHU De Rennes","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
