raw_name,source,suggested_canonical,other_names
Krystal Biotech Netherlands B.V.,epar_mah,Krystal Biotech,NA
KS Biomedix Limited,epar_mah,Ks Biomedix,NA
Kyowa Kirin Holdings B.V.,epar_mah,Kyowa Kirin Holdings,NA
La Jolla Limited,epar_mah,La Jolla,NA
Laboratoire Francais du Fractionnement et des Biotechnologies,epar_mah,Laboratoire Francais Du Fractionnement Et Des Biotechnologies,NA
Laboratoire HRA Pharma,epar_mah,Laboratoire Hra Pharma,NA
Laboratoires CTRS - Boulogne Billancourt,epar_mah,Laboratoires Ctrs Boulogne Billancourt,NA
Laboratoires SMB S.A.,epar_mah,Laboratoires Smb,Laboratoires SMB S.A.   | Laboratoires Théa | Laboratoires Juvisé Pharmaceuticals | Laboratoires Delbert | Laboratoire Aguettant | Laboratoires 3M Santé
"Laboratorios Farmacéuticos Rovi, S.A.",epar_mah,Laboratorios Farmaceuticos Rovi,NA
"LABORATORIOS LORIEN, S.L",epar_mah,Laboratorios Lorien,Laboratorios Tillomed Spain S.L.U
Lantheus Germany GmbH,epar_mah,Lantheus,Lantheus EU Limited
Le Vet Beheer B.V.,epar_mah,Le Vet Beheer,NA
Leadiant GmbH,epar_mah,Leadiant,NA
Legacy Healthcare (France) S.A.S.,epar_mah,Legacy Healthcare,NA
LEO Laboratories Ltd.,epar_mah,Leo Laboratories,NA
Linde Healthcare AB,epar_mah,Linde Healthcare,NA
Lipomed GmbH,epar_mah,Lipomed,NA
Lucane Pharma,epar_mah,Lucane Pharma,NA
Lupin Europe GmbH,epar_mah,Lupin,NA
Lux Biosciences GmbH,epar_mah,Lux,NA
Lxo Ireland Designated Activity Company,epar_mah,Lxo Designated Activity,NA
Mabion Spolka Akcyjna,epar_mah,Mabion Spolka Akcyjna,NA
Mabxience Research SL,epar_mah,Mabxience Research Sl,NA
Madrigal Pharmaceuticals EU Limited,epar_mah,Madrigal Eu,NA
Mallinckrodt Pharmaceuticals Ireland Limited,epar_mah,Mallinckrodt,Mallinckrodt Deutschland GmbH
Marinus Pharmaceuticals Emerald Limited,epar_mah,Marinus Emerald,NA
