entity_key,sponsor_clean_to,sponsor_parent_to,sponsor_group_to,sponsor_type_to,reason
cerenis therapeutics,Cerenis Therapeutics,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
cesar central european society anticancer drug ewiv,CESAR Central European Society for Anticancer Drug Research EWIV,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
cesra arzneimittel,Cesra Arzneimittel GmbH & Co.KG,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
charit campus mitte psychiatrie und psychotherapie,"Charité Campus Mitte, Klinik für Psychiatrie und Psychotherapie",NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
charite campus mitte fur psychiatrie und psychotherapie,"Charité Campus Mitte, Klinik für Psychiatrie und Psychotherapie",NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
charite organisation,Charite Research Organisation GmbH,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
chelsea therapeutics,Chelsea Therapeutics,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
chelsea westminster,Chelsea and Westminster NHS Foundation Trust,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
chemo,CHEMO France,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
chimerix,Chimerix,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
chiron,Chiron,NA,NA,industry,curated entity canonical from final_sponsor_canonical_review
christie,The Christie NHS Foundation Trust,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
chru tours,CHRU de Tours,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
chu amiens,CHU Amiens-Picardie,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
chu etienne,CHU de Saint-Étienne,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
chu gabriel montpied,CHU de Clermont-Ferrand,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
chu sart tilman,Centre Hospitalier Universitaire de Liège,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
cinclus pharma,Cinclus Pharma,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
circassia,Circassia Ltd,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
citospin,Citospin,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
clementia pharmaceuticals,Clementia Pharmaceuticals,NA,NA,industry,curated entity canonical from final_sponsor_canonical_review
clinica navarra,Clínica Universidad de Navarra,NA,NA,academic,curated entity canonical from final_sponsor_canonical_review
cliniques universitaires luc universit catholique louvain,Cliniques Universitaires St Luc,NA,NA,academic,curated entity canonical from final_sponsor_canonical_review
cliniques universitaires luc,Cliniques Universitaires Saint-Luc,NA,NA,academic,curated entity canonical from final_sponsor_canonical_review
clinuvel europe,Clinuvel Europe Ltd,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
clinuvel,Clinuvel,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
clnic barcelona,Hospital Clínic Barcelona,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
clnica navarra,Clínica Universidad de Navarra,NA,NA,academic,curated entity canonical from final_sponsor_canonical_review
cmc contrast,CMC Contrast,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
college dublin,University College Dublin,NA,NA,academic,curated entity canonical from final_sponsor_canonical_review
college london,University College London,NA,NA,academic,curated entity canonical from final_sponsor_canonical_review
cologne,University Of Cologne,NA,NA,academic,curated entity canonical from final_sponsor_canonical_review
combinatorx,CombinatoRx,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
compass pathfinder,COMPASS Pathfinder,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
complutense madrid,Complutense University Of Madrid,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
consorci mar parc salut barcelona,Consorci Mar Parc de Salut,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
consorzio mario negri sud,CONSORZIO MARIO NEGRI SUD,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
constellation pharmaceuticals,Constellation Pharmaceuticals,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
copenhagen hvidovre,Hvidovre Hospital,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
corxel pharmaceuticals,Corxel Pharmaceuticals Co. Ltd.,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
coventry warwickshire,University Hospital Coventry Warwickshire,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
cristina avendano sola,Cristina Avendaño Sola,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
cub erasme,Hospital Erasme,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
cub hopital erasme,CUB - Hôpital Erasme,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
cubist pharmaceuticals,Cubist Pharmaceuticals,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
curalogic,CURALOGIC,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
curevac,CureVac AG,NA,NA,industry,curated entity canonical from final_sponsor_canonical_review
curium,Curium US LLC,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
cymabay therapeutics,CymaBay Therapeutics Inc.,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
danderyds sjukhus,Danderyds sjukhus,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
daniel podzamczer palter,Dr. DANIEL PODZAMCZER PALTER,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
danube pharmaceuticals,Danube Pharmaceuticals,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
dbv technologies,DBV Technologies,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
debiopharm,Debiopharm,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
debrecen,University of Debrecen,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
del mar,Hospital Del Mar,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
del piemonte per loncologia irccs,Fondazione del Piemonte per l'Oncologia IRCC di Candiolo,NA,NA,foundation,curated entity canonical from final_sponsor_canonical_review
dep anaesthesia intensive care aarhus,Aarhus University Hospital,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
diakonhjemmet sykehus,Diakonhjemmet Sykehus,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
diater laboratorio diagnostico aplicaciones terapeuticas,Diater Laboratorio de Diagnóstico y Aplicaciones Terapéuticas S.A.,NA,NA,industry,curated entity canonical from final_sponsor_canonical_review
diater laboratorio diagnsticos aplicaciones teraputicas,Diater Laboratorio de Diagnóstico y Aplicaciones Terapéuticas S.A.,NA,NA,industry,curated entity canonical from final_sponsor_canonical_review
diurnal,Diurnal,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
dompe farmaceutici,Dompé Farmaceutici,NA,NA,industry,curated entity canonical from final_sponsor_canonical_review
dundee,University Of Dundee,NA,NA,academic,curated entity canonical from final_sponsor_canonical_review
durata therapeutic international allergan affiliate,Allergan,NA,NA,industry,curated entity canonical from final_sponsor_canonical_review
dutch colorectal cancer,the Dutch Colorectal Cancer Group,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
east north hertfordshire,East and North Hertfordshire NHS Trust,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
ecri,ECRI,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
edinburgh lothian health board,University of Edinburgh and NHS Lothian Health Board,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
elisabeth,St Elisabeth Hospital,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
emalex biosciences,Emalex Biosciences,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
endocyte,Endocyte,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
engelhard arzneimittel,Engelhard Arzneimittel GmbH & Co. KG,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
enlivex therapeutics,Enlivex Therapeutics,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
ente ospedaliero ospedali galliera genova,Ente Ospedaliero Ospedali Galliera Genova,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
enyo pharma,Enyo Pharma SA,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
eortc european organisation treatment cancer,EORTC,NA,NA,cooperative_group,curated entity canonical from final_sponsor_canonical_review
epifarma,EPIFARMA S.R.L.,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
erasme,CUB - Hôpital Erasme,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
erasmus rotterdam,Erasmus MC,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
erasmus,Erasmus MC,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
erlangen nuremberg,Universitätsklinikum Erlangen,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
erlangen,University Hospital Erlangen,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
essen,Universitätsklinikum Essen,NA,NA,academic,curated entity canonical from final_sponsor_canonical_review
estetra sprl,Estetra,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
estetra,Estetra,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
european myeloma network emn,European Myeloma Network,NA,NA,cooperative_group,curated entity canonical from final_sponsor_canonical_review
