alias_clean,substance_clean,alias_type,source
alecensa,alectinib hydrochloride,ema_product_name,epar
vyjuvek,beremagene geperpavec,ema_product_name,epar
xolair,omalizumab,ema_product_name,epar
fintepla,fenfluramine hydrochloride,ema_product_name,epar
jentadueto,linagliptin|metformin,ema_product_name,epar
zarzio,filgrastim,ema_product_name,epar
ebymect,dapagliflozin propanediol monohydrate|metformin hydrochloride,ema_product_name,epar
xigduo,metformin hydrochloride|dapagliflozin propanediol monohydrate,ema_product_name,epar
dasselta,desloratadine,ema_product_name,epar
hyqvia,human normal immunoglobulin,ema_product_name,epar
cellcept,mycophenolate mofetil,ema_product_name,epar
opsumit,macitentan,ema_product_name,epar
tivdak,tisotumab vedotin,ema_product_name,epar
insulin aspart injection,insulin aspart,ema_product_name,epar
tegsedi,inotersen sodium,ema_product_name,epar
nugalviq,govorestat,ema_product_name,epar
rapamune,sirolimus,ema_product_name,epar
rotarix,"human rotavirus, live attenuated",ema_product_name,epar
enflonsia,clesrovimab,ema_product_name,epar
ameluz,5-aminolevulinic acid hydrochloride,ema_product_name,epar
xeplion,paliperidone palmitate,ema_product_name,epar
namuscla,mexiletine hydrochloride,ema_product_name,epar
lynparza,olaparib,ema_product_name,epar
sotyktu,deucravacitinib,ema_product_name,epar
sirturo,bedaquiline fumarate,ema_product_name,epar
vyndaqel,tafamidis,ema_product_name,epar
nexium control,esomeprazole,ema_product_name,epar
theralugand,lutetium (177lu) chloride,ema_product_name,epar
pazenir,paclitaxel,ema_product_name,epar
zandoriah,teriparatide,ema_product_name,epar
akynzeo,netupitant|palonosetron hydrochloride,ema_product_name,epar
emadine,emedastine difumarate,ema_product_name,epar
jinarc,tolvaptan,ema_product_name,epar
capvaxive,"pneumococcal polysaccharide serotype 3, 6a, 7f, 8, 9n, 10a, 11a, 12f, 15a, 15b de-o-acetylated, 16f, 17f, 19a, 20a, 22f, 23a, 23b, 24f, 31, 33f and 35b conjugated to crm197 carrier protein",ema_product_name,epar
zepzelca,lurbinectedin,ema_product_name,epar
lopinavir/ritonavir viatris (previously ritonavir mylan),lopinavir|ritonavir,ema_product_name,epar
eurneffy,epinephrine,ema_product_name,epar
nemluvio,nemolizumab,ema_product_name,epar
carvykti,ciltacabtagene autoleucel,ema_product_name,epar
imatinib accord,imatinib,ema_product_name,epar
kapruvia,difelikefalin,ema_product_name,epar
optison,perflutren,ema_product_name,epar
ranluspec,ranibizumab,ema_product_name,epar
ozurdex,dexamethasone,ema_product_name,epar
vyepti,eptinezumab,ema_product_name,epar
pomalidomide teva,pomalidomide,ema_product_name,epar
camcevi,leuprorelin mesilate,ema_product_name,epar
joenja,leniolisib phosphate,ema_product_name,epar
beromun,tasonermin,ema_product_name,epar
verzenios,abemaciclib,ema_product_name,epar
qdenga,"dengue virus, serotype 2, expressing dengue virus, serotype 1, surface proteins, live, attenuated|dengue virus, serotype 2, expressing dengue virus, serotype 3, surface proteins, live, attenuated|dengue virus, serotype 2, expressing dengue virus, serotype 4, surface proteins, live, attenuated|dengue virus, serotype 2, live, attenuated",ema_product_name,epar
sunosi,solriamfetol hydrochloride,ema_product_name,epar
xenleta,lefamulin acetate,ema_product_name,epar
poherdy,pertuzumab,ema_product_name,epar
yesintek,ustekinumab,ema_product_name,epar
cablivi,caplacizumab,ema_product_name,epar
tevimbra,tislelizumab,ema_product_name,epar
otulfi,ustekinumab,ema_product_name,epar
polivy,polatuzumab vedotin,ema_product_name,epar
rezdiffra,resmetirom,ema_product_name,epar
trumenba,neisseria meningitidis serogroup b fhbp (recombinant lipidated fhbp (factor h binding protein)) subfamily a|neisseria meningitidis serogroup b fhbp (recombinant lipidated fhbp (factor h binding protein)) subfamily b,ema_product_name,epar
imcivree,setmelanotide,ema_product_name,epar
pomalidomide zentiva,pomalidomide,ema_product_name,epar
ucedane,carglumic acid,ema_product_name,epar
adempas,riociguat,ema_product_name,epar
uplizna,inebilizumab,ema_product_name,epar
piasky,crovalimab,ema_product_name,epar
yttriga,yttrium (90y) chloride,ema_product_name,epar
yuvanci,macitentan|tadalafil,ema_product_name,epar
mekinist,trametinib,ema_product_name,epar
sephience,sepiapterin,ema_product_name,epar
jubereq,denosumab,ema_product_name,epar
colchicine agepha pharma,colchicine,ema_product_name,epar
ablymico,liraglutide,ema_product_name,epar
liraglutide stada,liraglutide,ema_product_name,epar
veblocema,infliximab,ema_product_name,epar
vijoice,alpelisib,ema_product_name,epar
vislyfa,ranibizumab,ema_product_name,epar
zoledronic acid teva,zoledronic acid,ema_product_name,epar
exjade,deferasirox,ema_product_name,epar
ceprotin,human protein c,ema_product_name,epar
ruconest,recombinant human c1-inhibitor,ema_product_name,epar
